Timestamp,--- Section 1: Vendor Profile ---,1. Vendor ID / Name (Optional),2. Gender,3. Age Group,4. List of all Goods/Services sold (Describe the primary items sold),5. Type of Goods Sold,6. Specific Location (Detailed intersection/landmark),7. Current Business Duration (Round Off to Nearest Year - How long have you been operating this business?),8. Primary Mode of Operation,--- Section 2: UPI Usage & Adoption History ---,9. Do you accept UPI (QR Code) payments?,10. Why did you first start using UPI? (Select all that apply),"11. Do you pay any monthly fees (e.g., Soundbox rent) or transaction charges for using UPI?","12. Out of every 10 customers, how many pay via UPI? (Estimate)","13. How often do you experience technical/network issues (e.g., transaction fails, slow network)?","--- Section 3: Sales, Volume & Management ---",14. What is the most common amount a customer pays for a single item (average ticket size)?,"15. On an average day, roughly how many total customers do you serve?",16. Is your daily collection amount generally the same every day?,17a. Earnings on the Busiest Day (Last 7 days) (Approximate figure in Rupees),17b. Earnings on the Slowest Day (Last 7 days) (Approximate figure in Rupees),"18. In the last 1 hour, how many total customers came?",19. How many of those customers (in the last hour) used UPI?,20. Is it easier to keep track of your daily earnings with UPI or Cash?,"21. Do you feel you ""save"" more money now because UPI goes directly to the bank?","22. Compared to the same time last year, how has your overall business (sales volume/revenue) changed?",--- Section 4: Perceptions & Efficiency ---,23. Has the time taken per transaction changed using UPI?,"24. Out of every 10 customers, how many pay via Cash? (Estimate)",25. How many customers (who pay in cash) do you lose in a week because you don't have change?,26. Are you worried about all your transactions being recorded digitally?,27. Do customers ever leave because the UPI payment is taking too long?,28. Which mode do you prefer for your business?,--- Section 5: Surveyor Internal Consistency Check ---,C.1 Do the buckets for UPI (Q12) and Cash (Q24) sum to approximately 10?,"C.2 If the vendor said business is 'Very Steady,' is the difference between Busiest and Slowest day less than 30%?",C.3 Does the ratio of UPI users in the last hour (Q18/Q19) fall within the general day bucket (Q12)?,C.4 Was a QR code physically visible and reachable?,C.5 General atmosphere during interview:
4-10-2026 14:48:05,1,Sai jalpan junction,Male,30-44,South indian dishes,"Perishables (e.g., fruits, vegetables, cooked food)",Baranagar station,4 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,50-60,Very Steady (Collections are consistent),NA,NA,5-6,4,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,No change,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Slightly different,Clearly Visible,Cooperative
4-10-2026 14:53:00,1,Manoj's cart,Male,45-59,Juice,"Perishables (e.g., fruits, vegetables, cooked food)",Opposite to metro,15,Mobile Cart (Thela/Rehri),2,Yes,,Yes (monthly rent for device/service),6-8,Monthly,3,Below ?20,50,Somewhat Fluctuating,60,50,2,,,,Stayed the Same,4,,,0-2,,,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-10-2026 15:03:44,1,Ashirbad electric,Male,30-44,Phone covers/screens,"Non-Perishables (e.g., clothes, small electronics, repair services)",Dunlop bazar,7 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,20,Very Unsteady (Collections vary greatly),NA,NA,NA,,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,No change,3-5,0-2,Neutral/Don't care,Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Slightly different,Clearly Visible,Cooperative
4-10-2026 15:15:19,1,Archana store (policeman),Male,45-59,Cosmetics,"Non-Perishables (e.g., clothes, small electronics, repair services)",Dunlop main road,1 year,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,,3-5,,3,?20-?100,17,Somewhat Fluctuating,1250,1200,NA,,,,Stayed the Same,4,,,0-2,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Matches exactly,Hidden/Asked for,Threatened claiming policeman and threatened Aryanil about his sosur
4-10-2026 15:15:41,1,Joy ma tara lottery,Male,30-44,Lottery ticker,"Non-Perishables (e.g., clothes, small electronics, repair services)",Baranagar station,7 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),9-10,Rarely (Less than once a month),3,Below ?20,100,Very Steady (Collections are consistent),10000,6000,10,7,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,Neutral/Don't care,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-10-2026 15:45:38,1,Chanachur dokan,Male,60+,Snacks,"Perishables (e.g., fruits, vegetables, cooked food)",GLT road (left from RSM),51 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,Yes (monthly rent for device/service),3-5,Rarely (Less than once a month),3,?20-?100,20,Somewhat Fluctuating,1667,1333,3,,UPI (Bank record helps),"Yes, it helps me save more",Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Cooperative
4-10-2026 15:53:22,1,Ghosh Variety Store,Male,45-59,Kirana,"Non-Perishables (e.g., clothes, small electronics, repair services)",GLT Road (left from RSM),25,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,No (Free),0-2,Rarely (Less than once a month),3,Below ?20,35,Somewhat Fluctuating,NA,NA,NA,NA,No difference,No difference in saving habits,Declined (20%+ decrease),4,No change,9-10,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Hidden/Asked for,Cooperative
4-10-2026 16:38:09,1,Rani Bhavan 2nd floor,Male,45-59,Food,"Perishables (e.g., fruits, vegetables, cooked food)","203 campus, ISI Kolkata ",7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,70,Very Unsteady (Collections vary greatly),NA,NA ,15,11,No difference,No difference in saving habits,Stayed the Same,4,Faster with UPI,3-5,0-2,"No, I am not worried",Often,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),,Matches exactly,Clearly Visible,Cooperative
4-10-2026 16:56:08,1,Abhisekh Shaw,Male,30-44,Car accessories ,"Non-Perishables (e.g., clothes, small electronics, repair services)",Kamarhati More,15,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Smooth Transitions,No (Free),9-10,Rarely (Less than once a month),3,?100-?500,40,Somewhat Fluctuating,NA,NA,3,3,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,Clearly Visible,Cooperative
4-10-2026 17:06:12,1,Snakhasubhra ghosh,Male,30-44,Medicines,"Perishables (e.g., fruits, vegetables, cooked food)",Kamarhati more,13hrs,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change, Convenience ",No (Free),6-8,Weekly,3,?100-?500,35,Somewhat Fluctuating,NA,2500,3,2,Cash (Physical count is better),No (I withdraw it immediately),Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Cooperative
4-10-2026 17:14:52,1,,Male,30-44,Medicines ,"Perishables (e.g., fruits, vegetables, cooked food)","1, BT Road",7 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),9-10,Monthly,3,?100-?500,30,Somewhat Fluctuating,NA,NA,3,3,No difference,No (I withdraw it immediately),Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-10-2026 17:16:09,1,,Male,45-59,Medicine,"Perishables (e.g., fruits, vegetables, cooked food)","1, BT Road",7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),9-10,Weekly,3,?100-?500,50,Somewhat Fluctuating,NA,5000,10,8,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Slightly different,Clearly Visible,Cooperative
4-10-2026 17:19:02,1,Sree krishna mistanna bhander sinthee,Male,45-59,Food,"Perishables (e.g., fruits, vegetables, cooked food)",Sinthee,40,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),3-5,Daily,3,?100-?500,200,Somewhat Fluctuating,25000,15000,7,3,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,3-5,3-5,"No, I am not worried",Often,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 17:30:06,1,,Female,45-59,Electronics ,"Non-Perishables (e.g., clothes, small electronics, repair services)",Rathtala more,2 years ,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",Yes (monthly rent for device/service),9-10,Rarely (Less than once a month),3,15000,7,Somewhat Fluctuating,2.5lakhs,0,2,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Cooperative
4-10-2026 17:30:21,1,Elite Sinthee,Male,30-44,Food,"Perishables (e.g., fruits, vegetables, cooked food)",Sinthee,4,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),9-10,Monthly,3,?20-?100,55,Very Unsteady (Collections vary greatly),NA,NA,11,7,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 17:37:40,1,Kartik roy,Male,45-59,Phones,"Non-Perishables (e.g., clothes, small electronics, repair services)",Feeder road,4,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Convenience ,No (Free),9-10,Rarely (Less than once a month),3,10000,5,Very Unsteady (Collections vary greatly),NA,0,0,0,No difference,No difference in saving habits,Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Cooperative
4-10-2026 17:39:42,1,New Ladies Corner Sinthee,Male,30-44,Beauty products,"Non-Perishables (e.g., clothes, small electronics, repair services)",Sinthee,43,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),6-8,Daily,3,?100-?500,60,Very Unsteady (Collections vary greatly),25000,7000,2,0,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,No change,3-5,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 17:50:09,1,Debashis,Male,18-29,"Chips, Frooti, Snacks","Perishables (e.g., fruits, vegetables, cooked food)",BHoS,2 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),9-10,Rarely (Less than once a month),3,?20-?100,55,Very Steady (Collections are consistent),20000-25000,10000,5,5,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Sometimes,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,Clearly Visible,Cooperative
4-10-2026 17:57:35,1,Saree Museum Sinthee,Male,45-59,Clothes,"Non-Perishables (e.g., clothes, small electronics, repair services)",Sinthee,22,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,4,Very Unsteady (Collections vary greatly),NA,NA,1,0,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Hidden/Asked for,Cooperative
4-10-2026 18:18:37,1,Sree Guru Niketan Sinthee,Male,45-59,Clothes,"Non-Perishables (e.g., clothes, small electronics, repair services)",Sinthee ,25,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change, Lockdown promoted it",No (Free),6-8,Rarely (Less than once a month),3,1000,70,Very Steady (Collections are consistent),8000,0,0,0,No difference,No (I withdraw it immediately),Declined (20%+ decrease),4,No change,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Cooperative
4-10-2026 18:28:48,1,S Chakraborty,Male,45-59,"Chips, bhujia, batteries, pan masala","Perishables (e.g., fruits, vegetables, cooked food)",Opp Pragati Sangha Maidan,40,Pavement (Sitting on ground or temporary mat/sheet),2,Yes,Other vendors were using it,No (Free),6-8,Rarely (Less than once a month),3,Variable,NA,Very Steady (Collections are consistent),2000,1200,4,0,No difference,No (I withdraw it immediately),Declined (20%+ decrease),4,Faster with UPI,6-8,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),No (Potential perception bias),Slightly different,Hidden/Asked for,Cooperative
4-10-2026 18:31:31,1,,Male,45-59,"Vehicle Tyre, Battery","Non-Perishables (e.g., clothes, small electronics, repair services)",Indo Tyres (cal),20 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),9-10,Rarely (Less than once a month),3,3000-4000,10-12,Very Steady (Collections are consistent),"150,000-200,000",2500-3000,2,2,UPI (Bank record helps),No difference in saving habits,Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-10-2026 18:31:50,1,Akshay Medicos,Male,45-59,Medicines,"Non-Perishables (e.g., clothes, small electronics, repair services)",Sinthee ,9,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",No (Free),3-5,Rarely (Less than once a month),3,?100-?500,55,Very Unsteady (Collections vary greatly),28000,8000,0,0,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,6-8,3-5,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 18:44:24,1,Taara Ma Bhander,Male,45-59,Food,"Perishables (e.g., fruits, vegetables, cooked food)",Sinthee ,20,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,No (Free),3-5,Rarely (Less than once a month),3,?20-?100,100,Somewhat Fluctuating,NA,NA,4,2,No difference,No difference in saving habits,Stayed the Same,4,Faster with UPI,6-8,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 18:46:15,1,,Male,45-59,Vehicle battery,"Non-Perishables (e.g., clothes, small electronics, repair services)",Puspita Motors,N/A,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),9-10,Rarely (Less than once a month),3,1000-1200,10-12,Somewhat Fluctuating,"1,50,000",5000,0,0,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Suspicious
4-10-2026 18:50:23,1,Car Decor,Male,45-59,4 and 3 wheeler electrical parts,"Non-Perishables (e.g., clothes, small electronics, repair services)",Auto Help Line,20,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Monthly,3,?20-?100,7,Somewhat Fluctuating,3000,500,0,0,No difference,No difference in saving habits,Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Sometimes,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Major contradiction,Clearly Visible,Cooperative
4-10-2026 19:00:38,1,,Male,60+,"Snacks, Food items","Perishables (e.g., fruits, vegetables, cooked food)",St Augustin Day School,4,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,,6-8,Rarely (Less than once a month),3,Below ?20,50-55,Very Steady (Collections are consistent),10000,2000-3000,10,2,Cash (Physical count is better),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,3-5,0-2,Neutral/Don't care,Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,Clearly Visible,Cooperative
4-10-2026 19:01:04,1,Ashok Rai,Male,60+,Helmet,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opp Pragati sangha Maidan,3,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,1000,8,Somewhat Fluctuating,NA,10000,3,0,UPI (Bank record helps),No (I withdraw it immediately),Stayed the Same,4,Faster with UPI,3-5,0-2,Neutral/Don't care,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Distracted
4-10-2026 19:02:40,1,Babra Bag Centre,Male,45-59,Bag,"Non-Perishables (e.g., clothes, small electronics, repair services)",Sinthee,5,Pavement (Sitting on ground or temporary mat/sheet),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,5,Very Unsteady (Collections vary greatly),NA,NA,2,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Hidden/Asked for,Cooperative
4-10-2026 19:08:55,1,Kishore Churashi,Male,60+,Drill,"Non-Perishables (e.g., clothes, small electronics, repair services)","Opp Maruti Suzuki Showroom, near ananya",40,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),3-5,Rarely (Less than once a month),3,900,18,Very Unsteady (Collections vary greatly),NA,NA,0,0,UPI (Bank record helps),No (I withdraw it immediately),Declined (20%+ decrease),4,Faster with UPI,3-5,NA,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Distracted
4-10-2026 19:12:48,1,Raipur electronics,Male,18-29,"Consumer electronics, home appliances","Non-Perishables (e.g., clothes, small electronics, repair services)","Opposite NPR residential building,B.T.Road ",2,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,No (Free),3-5,Rarely (Less than once a month),3,10000,6,Very Unsteady (Collections vary greatly),20000,3000,0,0,No difference,No difference in saving habits,Stayed the Same,4,No change,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),Yes,Major contradiction,Clearly Visible,Cooperative
4-10-2026 19:15:16,1,,Male,30-44,Fruits ,"Perishables (e.g., fruits, vegetables, cooked food)",St. Augustine Day School,10,Mobile Cart (Thela/Rehri),2,Yes,Customers kept asking for it,No (Free),3-5,Rarely (Less than once a month),3,Below ?20,25-30,Somewhat Fluctuating,1200,600,6,3,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,3-5,6-7,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Slightly different,Hidden/Asked for,Cooperative
4-10-2026 19:16:38,1,Chatterjee Universe,Female,45-59,Food,"Perishables (e.g., fruits, vegetables, cooked food)",Sinthee,2,Pavement (Sitting on ground or temporary mat/sheet),2,Yes,"Customers kept asking for it, To avoid the problem of change",Yes (monthly rent for device/service),9-10,Rarely (Less than once a month),3,?20-?100,40,Very Unsteady (Collections vary greatly),NA,NA,5,1,No difference,No difference in saving habits,Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Cooperative
4-10-2026 19:18:04,1,,Male,45-59,Medicines,"Perishables (e.g., fruits, vegetables, cooked food)",Biva Medical Stores,25,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,N/A,50-60,Somewhat Fluctuating,4000,800,10,5,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,Faster with UPI,3-5,N/A,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Distracted
4-10-2026 19:31:59,1,Phuchka Stall,Male,30-44,Phuchka,"Perishables (e.g., fruits, vegetables, cooked food)",Sinthee,1,Mobile Cart (Thela/Rehri),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,75,Very Unsteady (Collections vary greatly),NA,NA,8,2,No difference,No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,6-8,20,Neutral/Don't care,Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),,Major contradiction,Clearly Visible,Cooperative
4-10-2026 19:33:16,1,Racer staion,Male,60+,Vehicle repair shop,"Non-Perishables (e.g., clothes, small electronics, repair services)",Next to Raipur electronics ,30,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),9-10,Daily,3,?20-?100,7,Very Unsteady (Collections vary greatly),1100,350p,3,2,UPI (Bank record helps),No (I withdraw it immediately),Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 19:35:07,1,,Male,45-59,Stationeries,"Non-Perishables (e.g., clothes, small electronics, repair services)",Unique Communication and Stationers,7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),3-5,Rarely (Less than once a month),3,Below ?20,30,Very Steady (Collections are consistent),700,400,6,2,Cash (Physical count is better),No difference in saving habits,Stayed the Same,4,Faster with UPI,3-5,0-2,"No, I am not worried",Often,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-10-2026 19:37:12,1,Guru Nanak Stores,Male,45-59,Mobile Phones,"Non-Perishables (e.g., clothes, small electronics, repair services)",Near Ananya,24,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, Ease of doing business",No (Free),6-8,Rarely (Less than once a month),3,200000,18,Somewhat Fluctuating,800000,0,7,5,No difference,No (I withdraw it immediately),Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,Clearly Visible,Cooperative
4-10-2026 19:46:19,1,Swastik,Male,18-29,"Cosmetics, Jewellery, Potato Chips","Non-Perishables (e.g., clothes, small electronics, repair services)",Sinthee,12,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),3-5,Rarely (Less than once a month),3,?100-?500,25,Somewhat Fluctuating,6500,3000,6,0,No difference,No difference in saving habits,Stayed the Same,4,No change,6-8,10,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Cooperative
4-10-2026 19:46:28,1,Jaiswal automobile ,Male,30-44,Parts of four wheeler ,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite of pragati sangha,14,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Monthly,3,Around 5000,10-15,Very Steady (Collections are consistent),15000,4000,6,3,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Slightly different,Clearly Visible,Cooperative
